STATION,NAME,DATE,AWND,FMTM,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT04,WT06,WT08,WT11,WT13,WT14,WT16,WT18,WT19,WT22
USW00094728,"NY CITY CENTRAL PARK, NY US",6/9/2011,3.58,1712,1714,0.07,0,0,,95,69,,350,320,17.9,31.1,1,,,,,1,,1,,1,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/10/2011,4.7,2355,2136,0,0,0,,87,70,,70,140,12.1,16.1,1,,,,,1,,1,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/11/2011,10.07,1459,1909,0.55,0,0,,72,59,,70,60,21,29.1,1,,,,,1,,1,,1,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/12/2011,5.82,253,252,0.05,0,0,,74,58,,50,50,15,21,1,,,,,,,1,,1,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/13/2011,4.47,1440,1634,0.05,0,0,,73,60,,290,280,13,17.9,1,,,,,,,1,,1,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/14/2011,4.7,823,813,0.05,0,0,,72,58,,60,60,15,17.9,1,,,,,,,1,,1,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/15/2011,4.92,1250,1249,0,0,0,,83,56,,40,70,13,17,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/16/2011,4.47,9999,,0,0,0,,84,62,,260,,8.9,,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/17/2011,2.68,9999,,1.82,0,0,,76,64,,120,,8.1,,1,1,,,,,,1,,1,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/18/2011,1.79,1259,1231,0,0,0,,83,64,,270,310,8.9,14.1,1,,,,,1,,1,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/19/2011,4.03,1146,1145,0,0,0,,83,69,,50,60,12.1,16.1,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/20/2011,3.36,2226,1801,0,0,0,,81,67,,230,160,8.9,15,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/21/2011,4.25,234,2247,0,0,0,,82,70,,240,220,12.1,16.1,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/22/2011,3.13,1118,1622,0.27,0,0,,80,71,,70,150,13,17,1,1,,,,1,,1,,1,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/23/2011,6.49,1617,1617,0.26,0,0,,71,66,,40,30,16.1,23,1,,,,,,,1,,1,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/24/2011,5.37,1947,2009,0.03,0,0,,70,65,,50,60,12.1,14.1,1,,,,,,,1,,1,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/25/2011,4.03,2042,1916,0,0,0,,80,64,,260,270,10.1,15,1,,,,,1,,1,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/26/2011,4.25,1403,1401,0,0,0,,79,66,,280,270,10.1,15,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/27/2011,2.24,2013,2013,0,0,0,,82,66,,160,150,8.9,13,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/28/2011,2.46,1333,1329,0,0,0,,83,72,,150,150,10.1,16.1,1,,,,,1,,1,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/29/2011,3.8,1433,1433,0.1,0,0,,82,69,,310,280,14.1,19.9,1,,,,,,,1,,1,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/30/2011,4.92,1528,1258,0,0,0,,82,65,,270,250,12.1,16.1,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",7/1/2011,3.58,1241,1239,0,0,0,,83,63,,50,50,12.1,16.1,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",7/2/2011,3.36,1824,1915,0,0,0,,86,68,,170,160,10.1,19.9,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",7/3/2011,3.36,508,535,0.84,0,0,,74,69,,250,220,14.1,17.9,1,1,,,,1,,1,,1,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",7/4/2011,2.46,1337,1512,0,0,0,,86,70,,250,230,13,17.9,1,,,,,1,,1,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",7/5/2011,4.03,1343,1311,0,0,0,,87,70,,280,310,12.1,16.1,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",7/6/2011,4.25,1734,1444,0,0,0,,89,73,,230,130,13,17.9,,,,,,1,,,,1,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",7/7/2011,3.8,2338,1532,0,0,0,,92,74,,210,170,10.1,17,,,,,,1,,,,,,,
